,link,avgRating,tMeter,fresh,ratings
82,https://www.rottentomatoes.com/m/i_will_make_you_mine,6.97,100.0,18,18
83,https://www.rottentomatoes.com/m/villain_2020,6.23,74.0,17,23
84,https://www.rottentomatoes.com/m/aka_jane_roe,6.82,88.0,14,16
85,https://www.rottentomatoes.com/m/survive_the_night_2020,4.01,15.0,2,13
86,https://www.rottentomatoes.com/m/inheritance_2020,4.31,25.0,13,52
87,https://www.rottentomatoes.com/m/screened_out,6.43,82.0,14,17
88,https://www.rottentomatoes.com/m/dreamland_2020,5.82,50.0,16,32
89,https://www.rottentomatoes.com/m/the_trip_to_greece,7.2,87.0,96,110
90,https://www.rottentomatoes.com/m/debt_collectors,5.92,82.0,9,11
91,https://www.rottentomatoes.com/m/the_collini_case,7.47,82.0,9,11
92,https://www.rottentomatoes.com/m/the_accompanist,3.34,0.0,0,6
93,https://www.rottentomatoes.com/m/a_clear_shot,3.72,0.0,0,7
94,https://www.rottentomatoes.com/m/hammer_2019,6.83,79.0,23,29
95,https://www.rottentomatoes.com/m/becky_2020,5.84,70.0,70,100
96,https://www.rottentomatoes.com/m/scoob,5.21,49.0,68,140
97,https://www.rottentomatoes.com/m/valley_girl_2020,5.77,55.0,27,49
98,https://www.rottentomatoes.com/m/capone_2020,4.89,41.0,52,126
99,https://www.rottentomatoes.com/m/working_man,7.32,92.0,36,39
100,https://www.rottentomatoes.com/m/driveways,8.03,100.0,66,66
101,https://www.rottentomatoes.com/m/porno_2020,6.34,81.0,35,43
102,https://www.rottentomatoes.com/m/rewind_2020,8.47,100.0,41,41
103,https://www.rottentomatoes.com/m/the_traitor_2020,7.06,84.0,82,98
104,https://www.rottentomatoes.com/m/better_days_2019,8.17,100.0,13,13
105,https://www.rottentomatoes.com/m/a_good_woman_is_hard_to_find,7.31,92.0,45,49
106,https://www.rottentomatoes.com/m/castle_in_the_ground,6.44,65.0,24,37
107,https://www.rottentomatoes.com/m/greed_2020,5.51,47.0,66,140
108,https://www.rottentomatoes.com/m/how_to_build_a_girl,6.57,81.0,101,125
109,https://www.rottentomatoes.com/m/sweetness_in_the_belly,6.56,40.0,4,10
110,https://www.rottentomatoes.com/m/intrigo_dear_agnes,4.0,40.0,2,5
111,https://www.rottentomatoes.com/m/blue_story,7.01,91.0,31,34
112,https://www.rottentomatoes.com/m/angelfish_2019,7.18,86.0,12,14
113,https://www.rottentomatoes.com/m/spaceship_earth_2020,6.94,87.0,92,106
114,https://www.rottentomatoes.com/m/i_love_you_stupid,5.46,62.0,5,8
115,https://www.rottentomatoes.com/m/arkansas,5.55,47.0,29,62
116,https://www.rottentomatoes.com/m/justice_league_dark_apokolips_war,7.75,100.0,16,16
117,https://www.rottentomatoes.com/m/the_wrong_missy,4.18,34.0,19,56
118,https://www.rottentomatoes.com/m/evil_little_things,4.0,50.0,3,6
119,https://www.rottentomatoes.com/m/blood_and_money,5.15,36.0,8,22
120,https://www.rottentomatoes.com/m/proximity_2020,4.69,39.0,9,23
121,https://www.rottentomatoes.com/m/the_bellmen,5.38,60.0,3,5
122,https://www.rottentomatoes.com/m/have_a_good_trip_adventures_in_psychedelics,5.83,58.0,15,26
123,https://www.rottentomatoes.com/m/jerry_seinfeld_23_hours_to_kill,7.04,75.0,12,16
124,https://www.rottentomatoes.com/m/18_presents,6.17,60.0,3,5
125,https://www.rottentomatoes.com/m/becoming_2020_2,7.04,93.0,68,73
126,https://www.rottentomatoes.com/m/fame_ish,6.62,83.0,5,6
127,https://www.rottentomatoes.com/m/until_the_birds_return,6.07,78.0,7,9
128,https://www.rottentomatoes.com/m/bit,7.17,90.0,9,10
129,https://www.rottentomatoes.com/m/to_the_stars,6.61,81.0,47,58
130,https://www.rottentomatoes.com/m/pahokee,7.56,100.0,22,22
131,https://www.rottentomatoes.com/m/circus_of_books,7.75,98.0,53,54
132,https://www.rottentomatoes.com/m/bull_2020,7.32,91.0,77,85
133,https://www.rottentomatoes.com/m/beanpole,7.78,91.0,81,89
134,https://www.rottentomatoes.com/m/deerskin,7.19,87.0,85,98
135,https://www.rottentomatoes.com/m/the_flood_2019,6.42,68.0,25,37
136,https://www.rottentomatoes.com/m/robert_the_bruce,5.01,44.0,23,52
137,https://www.rottentomatoes.com/m/1br,6.78,87.0,52,60
138,https://www.rottentomatoes.com/m/the_wretched_2020,6.27,75.0,77,103
139,https://www.rottentomatoes.com/m/bad_education_2019,7.71,93.0,129,138
140,https://www.rottentomatoes.com/m/endings_beginnings,5.12,41.0,26,64
141,https://www.rottentomatoes.com/m/tammys_always_dying,6.25,75.0,24,32
142,https://www.rottentomatoes.com/m/true_history_of_the_kelly_gang,6.91,79.0,121,153
143,https://www.rottentomatoes.com/m/witches_in_the_woods,5.5,50.0,3,6
144,https://www.rottentomatoes.com/m/capital_in_the_twenty_first_century,7.65,94.0,33,35
145,https://www.rottentomatoes.com/m/the_photograph_2020,6.57,74.0,79,107
146,https://www.rottentomatoes.com/m/vanilla_2020,6.64,87.0,13,15
147,https://www.rottentomatoes.com/m/james_vs_his_future_self,7.23,100.0,16,16
148,https://www.rottentomatoes.com/m/enemy_lines,4.56,20.0,1,5
149,https://www.rottentomatoes.com/m/extraction_2020,6.14,67.0,136,202
150,https://www.rottentomatoes.com/m/15_years,6.0,60.0,3,5
151,https://www.rottentomatoes.com/m/the_half_of_it,7.86,97.0,86,89
152,https://www.rottentomatoes.com/m/murder_to_mercy_the_cyntoia_brown_story,6.08,79.0,11,14
153,https://www.rottentomatoes.com/m/dangerous_lies_2020,4.23,25.0,7,28
154,https://www.rottentomatoes.com/m/all_day_and_a_night,5.96,56.0,19,34
155,https://www.rottentomatoes.com/m/a_secret_love,7.92,100.0,42,42
156,https://www.rottentomatoes.com/m/get_in,5.15,50.0,3,6
157,https://www.rottentomatoes.com/m/mrs_serial_killer,3.4,17.0,2,12
158,https://www.rottentomatoes.com/m/the_willoughbys,6.83,90.0,57,63
159,https://www.rottentomatoes.com/m/trolls_world_tour,6.16,70.0,102,146
160,https://www.rottentomatoes.com/m/the_rhythm_section,4.72,28.0,47,169
161,https://www.rottentomatoes.com/m/perfect_2019,3.62,15.0,2,13
162,https://www.rottentomatoes.com/m/trust_machine_the_story_of_blockchain,7.5,90.0,9,10
163,https://www.rottentomatoes.com/m/the_plagues_of_breslau,5.83,83.0,5,6
164,https://www.rottentomatoes.com/m/imaginary_order,7.2,73.0,8,11
165,https://www.rottentomatoes.com/m/why_dont_you_just_die,7.35,97.0,67,69
166,https://www.rottentomatoes.com/m/fantasy_island_2020,3.21,8.0,8,103
167,https://www.rottentomatoes.com/m/abe_2020,6.81,70.0,23,33
168,https://www.rottentomatoes.com/m/miles_davis_birth_of_the_cool,7.55,93.0,53,57
169,https://www.rottentomatoes.com/m/jump_shot_the_kenny_sailors_story,8.03,100.0,14,14
170,https://www.rottentomatoes.com/m/stray_dolls,6.27,71.0,17,24
171,https://www.rottentomatoes.com/m/underwater_2020,5.2,48.0,97,204
172,https://www.rottentomatoes.com/m/sea_fever_2020,6.86,86.0,85,99
173,https://www.rottentomatoes.com/m/no_small_matter,8.5,100.0,10,10
174,https://www.rottentomatoes.com/m/we_summon_the_darkness,5.87,69.0,44,64
175,https://www.rottentomatoes.com/m/butt_boy,6.22,71.0,40,56
176,https://www.rottentomatoes.com/m/sergio_2020,5.48,43.0,20,46
177,https://www.rottentomatoes.com/m/man_camp_2020,6.75,100.0,5,5
178,https://www.rottentomatoes.com/m/mortal_kombat_legends_scorpions_revenge,7.33,89.0,16,18
179,https://www.rottentomatoes.com/m/the_quarry_2020,5.23,40.0,18,45
180,https://www.rottentomatoes.com/m/bad_therapy,4.31,8.0,1,12
181,https://www.rottentomatoes.com/m/soundwave,6.25,85.0,17,20
182,https://www.rottentomatoes.com/m/the_lost_husband,6.11,58.0,11,19
183,https://www.rottentomatoes.com/m/tape_2020,5.55,61.0,14,23
184,https://www.rottentomatoes.com/m/behind_you,4.12,7.0,1,14
185,https://www.rottentomatoes.com/m/tigertail,6.98,80.0,60,75
186,https://www.rottentomatoes.com/m/the_main_event_2020,4.97,26.0,5,19
187,https://www.rottentomatoes.com/m/school_life_2020,5.44,88.0,7,8
188,https://www.rottentomatoes.com/m/rising_high,4.85,33.0,3,9
189,https://www.rottentomatoes.com/m/bad_boys_for_life,6.22,77.0,197,257
190,https://www.rottentomatoes.com/m/sonic_the_hedgehog_2020,5.78,62.0,144,231
191,https://www.rottentomatoes.com/m/shes_allergic_to_cats,5.79,85.0,11,13
192,https://www.rottentomatoes.com/m/the_last_full_measure,6.11,60.0,42,70
193,https://www.rottentomatoes.com/m/what_you_gonna_do_when_the_worlds_on_fire,6.99,87.0,41,47
194,https://www.rottentomatoes.com/m/i_still_believe,5.59,50.0,22,44
195,https://www.rottentomatoes.com/m/it_started_as_a_joke,7.04,100.0,10,10
196,https://www.rottentomatoes.com/m/strike_2020,6.5,83.0,5,6
197,https://www.rottentomatoes.com/m/slay_the_dragon,7.72,100.0,45,45
