X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-79.6692158,43.6364194,Kennedy Rd S s/of Steeles Ave E,,,,,,-1,0,-1,,
-79.5788244,43.6798232,Aero Yard,,,,,,-1,0,-1,,
