X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-79.7000936,43.4465555,Dorval Drive,,,,,,-1,0,-1,,
-79.7254011,43.4237988,Third Line,,,,,,-1,0,-1,,
