X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-82.1176163,42.9916587,Oil Heritage Road,,,,,,-1,0,-1,,
-82.2384703,42.9933126,Town Line,,,,,,-1,0,-1,,
