X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-78.6438689,43.9016633,Bennet Rd,,,,,,-1,0,-1,,
-78.6751005,43.8989885,"43.90038,-78.66317",,,,,,-1,0,-1,,
