X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-79.586209,43.915752,York Regional Road 11,,,,,,-1,0,-1,,
-79.5623851,44.0092232,Kettleby Road,,,,,,-1,0,-1,,
