X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-78.9049417,43.8688886,Thickson Road South,,,,,,-1,0,-1,,
-78.8688646,43.8788351,Park Rd S,,,,,,-1,0,-1,,
