X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-79.8640617,43.5414489,James Snow Parkway North,,,,,,-1,0,-1,,
-79.8277466,43.5693893,Trafalgar Road,,,,,,-1,0,-1,,
